hen	49	1	1	0	1	1	0	0.0003986502229870804	0.0	6	1	
hen	19	1	0	1	1	0	1	0.14032487849145228	0.0	4	1	
hen	3	1	1	0	1	1	0	0.0003986502229870804	0.0	6	1	
hen	96	3	0	3	3	0	3	0.42017733502838167	0.0	2	1	
hen	39	1	1	0	1	1	0	0.0003986502229870804	0.0	6	1	
hen	106	1	1	0	1	1	0	0.0003986502229870804	0.0	6	1	
hen	2	1	1	0	1	1	0	0.0003986502229870804	0.0	6	1	
hen	32	1	0	1	1	0	1	0.14032487849145228	0.0	4	1	
hen	112	1	1	0	1	1	0	0.0003986502229870804	0.0	6	1	
hen	91	6	0	6	7	0	7	0.8399560198337787	0.0	1	1	
hen	93	1	1	0	1	1	0	0.0003986502229870804	0.0	6	1	
hen	115	1	1	0	1	1	0	0.0003986502229870804	0.0	6	1	
hen	7	2	0	2	2	0	2	0.28025110675991666	0.0	3	1	
hen	120	1	1	0	1	1	0	0.0003986502229870804	0.0	6	1	
hen	70	1	1	0	1	1	0	0.0003986502229870804	0.0	6	1	
hen	89	1	1	0	2	2	0	0.0003986502229870804	0.0	6	1	
hen	67	1	1	0	1	1	0	0.0003986502229870804	0.0	6	1	
hen	14	1	1	0	1	1	0	0.0003986502229870804	0.0	6	1	
edw	89	1	1	0	1	1	0	1.498568587515545e-07	0.0	5	4	
edw	91	31	1	30	49	1	48	0.7071126255659201	0.029233870967741934	1	1	
edw	14	2	2	0	4	4	0	1.498568587515545e-07	0.0	5	4	
edw	7	4	1	3	5	2	3	0.7071009367309372	0.0010080645161290322	2	3	
edw	117	1	1	0	1	1	0	1.498568587515545e-07	0.0	5	4	
edw	86	1	1	0	1	1	0	1.498568587515545e-07	0.0	5	4	
edw	60	1	1	0	1	1	0	1.498568587515545e-07	0.0	5	4	
edw	111	1	1	0	1	1	0	1.498568587515545e-07	0.0	5	4	
edw	12	1	1	0	1	1	0	1.498568587515545e-07	0.0	5	4	
edw	114	2	2	0	4	4	0	1.498568587515545e-07	0.0	5	4	
edw	43	2	2	0	4	4	0	1.498568587515545e-07	0.0	5	4	
edw	63	2	1	1	2	1	1	2.8472803162795357e-06	0.0	4	4	
edw	105	1	1	0	1	1	0	1.498568587515545e-07	0.0	5	4	
edw	21	1	1	0	6	6	0	1.498568587515545e-07	0.0	5	4	
edw	46	1	1	0	1	1	0	1.498568587515545e-07	0.0	5	4	
edw	72	1	1	0	1	1	0	1.498568587515545e-07	0.0	5	4	
edw	67	1	1	0	3	3	0	1.498568587515545e-07	0.0	5	4	
edw	17	1	1	0	3	3	0	1.498568587515545e-07	0.0	5	4	
edw	65	1	1	0	1	1	0	1.498568587515545e-07	0.0	5	4	
edw	75	1	1	0	3	3	0	1.498568587515545e-07	0.0	5	4	
edw	26	1	1	0	1	1	0	1.498568587515545e-07	0.0	5	4	
edw	121	1	1	0	1	1	0	1.498568587515545e-07	0.0	5	4	
