#SENDER_ID	RECIPIENT_ID	DATE_FROM	DATE_TO	MS_ID	PLACE_ID	MS_REF
14	91	0	0	Plumpton_K122	0	Kirby no.122
14	91	0	0	Plumpton_K123	0	Kirby no.123
14	91	0	0	Plumpton_K124	0	Kirby no.124
43	63	35816	35816	Plumpton_K126	0	Kirby no.126
43	91	35822	35822	Plumpton_K127	0	Kirby no.127
105	91	35828	35828	Plumpton_K128	0	Kirby no.128
114	91	35794	35794	Plumpton_K129	0	Kirby no.129
114	91	35794	35794	Plumpton_K130	0	Kirby no.130
46	91	36237	36237	Plumpton_K131	0	Kirby no.131
11	91	0	0	Plumpton_K132	0	Kirby no.132
11	91	0	0	Plumpton_K133	0	Kirby no.133
16	91	0	0	Plumpton_K134	0	Kirby no.134
44	91	0	0	Plumpton_K135	0	Kirby no.135
11	91	0	0	Plumpton_K136	0	Kirby no.136
72	91	36415	36415	Plumpton_K137	0	Kirby no.137
21	91	36159	36159	Plumpton_K138	0	Kirby no.138
67	91	36446	36446	Plumpton_K139	0	Kirby no.139
11	91	0	0	Plumpton_K140	0	Kirby no.140
41	91	0	0	Plumpton_K141	0	Kirby no.141
43	91	0	0	Plumpton_K142	0	Kirby no.142
67	91	0	0	Plumpton_K143	0	Kirby no.143
17	91	36524	36524	Plumpton_K144	0	Kirby no.144
71	91	0	0	Plumpton_K145	0	Kirby no.145
17	91	36524	36524	Plumpton_K146	0	Kirby no.146
65	91	36524	36524	Plumpton_K147	0	Kirby no.147
38	91	0	0	Plumpton_K148	0	Kirby no.148
94	91	0	0	Plumpton_K149	0	Kirby no.149
75	91	36524	36524	Plumpton_K150	0	Kirby no.150
26	91	36524	36524	Plumpton_K151	0	Kirby no.151
43	91	37026	37026	Plumpton_K152	0	Kirby no.152
43	91	37039	37039	Plumpton_K153	0	Kirby no.153
75	91	36889	36889	Plumpton_K154	0	Kirby no.154
121	91	36889	36889	Plumpton_K155	0	Kirby no.155
67	91	37059	37059	Plumpton_K156	0	Kirby no.156
63	91	37066	37066	Plumpton_K157	0	Kirby no.157
67	91	36889	36889	Plumpton_K158	0	Kirby no.158
8	91	0	0	Plumpton_K159	0	Kirby no.159
94	91	0	0	Plumpton_K160	0	Kirby no.160
94	91	0	0	Plumpton_K161	0	Kirby no.161
91	7	37505	37505	Plumpton_K162	0	Kirby no.162
84	91	37559	37559	Plumpton_K163	0	Kirby no.163
114	91	37254	37254	Plumpton_K164	0	Kirby no.164
21	91	0	0	Plumpton_K167	0	Kirby no.167
7	91	0	0	Plumpton_K168	0	Kirby no.168
107	119	0	0	Plumpton_K169	0	Kirby no.169
7	91	0	0	Plumpton_K170	0	Kirby no.170
7	91	37608	37608	Plumpton_K171	0	Kirby no.171
75	91	0	0	Plumpton_K173	0	Kirby no.173
107	119	0	0	Plumpton_K174	0	Kirby no.174
119	91	37333	37333	Plumpton_K176	0	Kirby no.176
17	91	37254	37254	Plumpton_K177	0	Kirby no.177
73	91	0	0	Plumpton_K178	0	Kirby no.178
21	91	37619	37619	Plumpton_K179	0	Kirby no.179
21	91	37619	37619	Plumpton_K180	0	Kirby no.180
108	91	37619	37619	Plumpton_K181	0	Kirby no.181
75	91	37619	37619	Plumpton_K182	0	Kirby no.182
11	91	0	0	Plumpton_K183	0	Kirby no.183
123	91	0	0	Plumpton_K184	0	Kirby no.184
7	91	0	0	Plumpton_K186	0	Kirby no.186
118	7	37992	37992	Plumpton_K187	0	Kirby no.187
7	91	0	0	Plumpton_K188	0	Kirby no.188
7	91	38100	38100	Plumpton_K190	0	Kirby no.190
55	91	37984	37984	Plumpton_K191	0	Kirby no.191
36	7	0	0	Plumpton_K192	0	Kirby no.192
8	91	0	0	Plumpton_K193	0	Kirby no.193
21	91	37984	37984	Plumpton_K194	0	Kirby no.194
21	91	38298	38298	Plumpton_K195	0	Kirby no.195
25	91	37984	37984	Plumpton_K196	0	Kirby no.196
66	91	0	0	Plumpton_K198	0	Kirby no.198
30	91	38715	38715	Plumpton_K199	0	Kirby no.199
50	30	38715	38715	Plumpton_K200	0	Kirby no.200
10	91	38715	38715	Plumpton_K201	0	Kirby no.201
66	91	0	0	Plumpton_K202	0	Kirby no.202
66	91	0	0	Plumpton_K203	0	Kirby no.203
59	91	37254	37254	Plumpton_K204	0	Kirby no.204
33	91	0	0	Plumpton_K207	0	Kirby no.207
24	91	40176	40176	Plumpton_K208	0	Kirby no.208
85	94	0	0	Plumpton_K210	0	Kirby no.210
85	94	0	0	Plumpton_K211	0	Kirby no.211
21	91	42156	42156	Plumpton_K212	0	Kirby no.212
21	91	0	0	Plumpton_K213	0	Kirby no.213
94	91	0	0	Plumpton_K214	0	Kirby no.214
31	91	274297	274297	Plumpton_K216	0	Kirby no.216
114	30	43463	43463	Plumpton_K217	0	Kirby no.217
119	91	0	0	Plumpton_K218	0	Kirby no.218
101	119	0	0	Plumpton_K220	0	Kirby no.220
5	119	0	0	Plumpton_K221	0	Kirby no.221
52	119	0	0	Plumpton_K222	0	Kirby no.222
27	119	0	0	Plumpton_K223	0	Kirby no.223
11	119	0	0	Plumpton_K224	0	Kirby no.224
90	119	48531	48531	Plumpton_K228	0	Kirby no.228
75	30	0	0	Plumpton_K229	0	Kirby no.229
75	30	49307	49307	Plumpton_K230	0	Kirby no.230
35	119	0	0	Plumpton_K231	0	Kirby no.231
119	75	0	0	Plumpton_K232	0	Kirby no.232
13	119	0	0	Plumpton_K233	0	Kirby no.233
18	74	0	0	Plumpton_K234	0	Kirby no.234
35	30	0	0	Plumpton_K235	0	Kirby no.235
35	119	0	0	Plumpton_K236	0	Kirby no.236
35	119	0	0	Plumpton_K237	0	Kirby no.237
35	119	52313	52313	Plumpton_K238	0	Kirby no.238
6	119	0	0	Plumpton_K239	0	Kirby no.239
80	119	52594	52594	Plumpton_K240	0	Kirby no.240
80	119	0	0	Plumpton_K241	0	Kirby no.241
80	119	0	0	Plumpton_K242	0	Kirby no.242
80	119	0	0	Plumpton_K243	0	Kirby no.243
80	119	0	0	Plumpton_K244	0	Kirby no.244
77	119	0	0	Plumpton_K245	0	Kirby no.245
58	119	0	0	Plumpton_K246	0	Kirby no.246
116	119	53690	53690	Plumpton_K247	0	Kirby no.247
125	30	0	0	Plumpton_K248	0	Kirby no.248
125	30	54421	54421	Plumpton_K249	0	Kirby no.249
69	30	0	0	Plumpton_K250	0	Kirby no.250
56	30	0	0	Plumpton_K251	0	Kirby no.251
1	30	55151	55151	Plumpton_K252	0	Kirby no.252
51	92	0	0	Plumpton_K1	0	Kirby no.1
